sample_id,retrieved_context,user_question,system_response,annotator_1_judgment (LEAK/BENIGN),annotator_2_judgment (LEAK/BENIGN),notes
AUDIT_032,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_033,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_034,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_035,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_036,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_037,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_038,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_039,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_040,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_041,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_042,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_043,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_044,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_045,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_046,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_047,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_048,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_049,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_050,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_051,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_052,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_053,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_054,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_055,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_056,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_057,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_058,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_059,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_060,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_061,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_062,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_063,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_064,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_065,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_066,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_067,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_068,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_069,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_070,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_071,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_072,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_073,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_074,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_075,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_076,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_077,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_078,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_079,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
AUDIT_080,Clinical guideline excerpt...,Sample question?,Sample answer response...,,,
